,model,nb_neurones_per_layers,nb_layers,future_temporal_horizon,activation,batchsize,future_delay,smoothing,subsampling_dt,state_configuration,data,data_dt,learning_rate,nb_collocations,seed,transfer_learning,train_on_collocation,ensemble_collocation,early_stopping,nb_epochs,training_name,pretrained_idx,status,training_idx
125,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,125
126,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,126
127,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,127
128,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,128
129,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,129
130,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,130
131,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,131
132,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,132
133,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,133
134,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,134
135,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,135
136,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,136
137,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,137
138,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,138
139,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,139
140,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,140
141,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,141
142,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,142
143,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,143
144,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,144
145,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,145
146,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,146
147,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,147
