model,nb_neurones_per_layers,nb_layers,future_temporal_horizon,activation,batchsize,future_delay,smoothing,subsampling_dt,state_configuration,data,data_dt,learning_rate,nb_collocations,seed,transfer_learning,train_on_collocation,ensemble_collocation,early_stopping,nb_epochs,training_name,pretrained_idx,status,training_idx
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,151
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,152
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,153
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,154
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,155
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,156
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,157
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,158
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,159
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,160
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,161
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,162
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,163
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,164
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,165
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,166
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,167
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,168
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,169
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,170
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,171
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,172
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,173
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,174
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,175
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,176
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,177
mlp,24,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,178
